Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,Lid thickness,Cu-pillar bump solder material,ELK stress,Warpage Post UF cure,Warpage post lid attach,Design_ID,BGA solder material,DeltaW_BGA,DeltaW_bump
0.25,0.06,0.4,9e-06,2.5e-05,9,2.0,SAC205,5.97951660095962,-0.0858542509231482,0.0477372417226432,1,SAC205,0.102637939155102,0.0014623069728259
0.25,0.02,0.4,6e-06,3e-05,9,2.0,SAC305,8.81123779236491,-0.0881483167177065,0.0368914084392599,2,SAC205,0.237716404100259,0.0141814530361444
0.75,0.02,1.2,6e-06,2.5e-05,6,1.0,SAC305,10.9201016811309,-0.0290552352089434,0.031726342625916,3,SAC205,0.339181274175644,0.0858888849616043
0.5,0.02,0.4,3e-06,3e-05,3,1.0,SAC305,9.03203748964324,-0.0634033885144162,0.0586506640538573,4,SAC405,0.2809611111879349,0.0019535019346221
0.5,0.06,0.8,6e-06,2.5e-05,9,2.0,SAC205,6.51334383004475,-0.045091301202774,0.1008390225470066,5,SAC405,0.461580276489258,0.01155626331456
0.25,0.06,1.2,9e-06,2e-05,9,1.5,SAC305,7.73222640768078,-0.0325110053963726,0.0224047134688589,6,SAC305,0.854602307081216,0.0010345463524572
0.5,0.06,1.2,9e-06,3e-05,6,2.0,SAC105,4.7132414416359,-0.0325817281263879,0.0336704162764362,7,SAC205,0.678340256214134,0.0919591411948202
0.75,0.02,1.2,9e-06,3e-05,6,2.0,SAC305,10.2561106752416,-0.0347748559433966,0.0819334965199231,8,SAC305,0.244348213076591,0.0045508184994105
0.5,0.06,1.2,9e-06,2.5e-05,3,1.5,SAC405,8.7071355025372,-0.0352913030656053,0.0198327935067936,9,SAC305,0.305632943908374,0.0058946782955899
0.75,0.04,0.4,9e-06,3e-05,6,1.5,SAC305,12.0875067178695,-0.0612040238338521,0.0426040508318691,10,SAC105,0.312673337757587,0.0046925421411287
0.25,0.06,0.8,3e-06,3e-05,9,2.0,SAC205,7.001044578207,-0.0327261395868844,0.0237615746445953,11,SAC405,0.061075873672963,0.0143259064643642
0.5,0.04,0.4,9e-06,2.5e-05,3,2.0,SAC205,8.49496463372,-0.0762769805151037,0.0394624549953732,12,SAC405,0.58718907833099,0.094348416663706
0.5,0.02,1.2,3e-06,2e-05,9,2.0,SAC305,11.5902604343704,-0.0240930605214089,0.1231168918311595,13,SAC105,0.521414101123801,0.0192988515773323
0.5,0.02,0.4,9e-06,2e-05,3,1.5,SAC205,8.32833352316442,-0.0716256203304509,0.0203931417781859,14,SAC405,0.1481807380914689,0.0260444587329403
0.75,0.02,0.4,6e-06,2.5e-05,6,1.0,SAC105,7.54959810424968,-0.0428591478266753,0.0489437170326709,15,SAC205,0.138847600668669,0.0081936077040153
0.75,0.04,0.4,3e-06,2.5e-05,9,2.0,SAC105,7.5172544671905,-0.0443574530654586,0.0731691345572471,16,SAC405,0.299862459301948,0.0117877088487147
0.5,0.06,1.2,9e-06,2.5e-05,9,2.0,SAC405,8.70713927888653,-0.0394806484109721,0.0241249077371321,17,SAC405,0.407129645347595,0.0415241420269013
0.5,0.06,0.4,3e-06,3e-05,9,1.5,SAC405,8.03432957401536,-0.061950059927767,0.0821589967235922,18,SAC305,0.1625144034624099,0.0015049606972752
0.5,0.02,0.4,6e-06,2.5e-05,6,1.5,SAC105,5.79413621148124,-0.0512961602944414,0.0520152803510426,19,SAC205,0.10395647957921,0.0266244551166893
0.5,0.06,0.4,9e-06,2e-05,6,1.0,SAC105,5.28315550839533,-0.0708322481077629,0.050928000069689,20,SAC305,0.286538980901241,0.0058292362082284
0.75,0.06,0.8,6e-06,2e-05,3,1.0,SAC205,6.43252078200285,-0.0371926348016131,0.0450207456888164,21,SAC105,0.072218134999275,0.0661683278158306
0.25,0.04,0.4,3e-06,2.5e-05,6,2.0,SAC105,5.26611214947323,-0.0640837637620279,0.0233561463246587,22,SAC105,0.424785427749157,0.2030196739360689
0.25,0.04,0.8,3e-06,2e-05,9,1.5,SAC105,6.41409944257594,-0.0334713408374226,0.024313227389939,23,SAC105,0.291604230801265,0.0655370531603692
0.25,0.04,1.2,3e-06,2e-05,9,1.5,SAC105,6.53333218705143,-0.016609109181445,0.0098013110691681,24,SAC205,0.1836641952395439,0.0060206787311471
0.75,0.02,1.2,9e-06,2.5e-05,6,1.0,SAC205,9.00776124171018,-0.0312693124869838,0.0431592389941214,25,SAC305,0.322993149360021,0.0192904512223321
0.25,0.06,0.4,9e-06,2.5e-05,3,1.0,SAC305,6.70360562422777,-0.0825440191256347,0.0470590819895732,26,SAC405,0.237265087664127,0.093144722282887
0.75,0.02,1.2,3e-06,2e-05,9,1.5,SAC405,12.8605595163948,-0.0255464024376123,0.207298688590526,27,SAC105,0.291906453669072,0.0080688153684605
0.5,0.02,0.4,3e-06,3e-05,9,1.0,SAC105,5.86566133588267,-0.0494367572246118,0.0451210085302591,28,SAC205,0.958663851022713,0.1253499086014929
0.75,0.02,1.2,9e-06,2e-05,6,2.0,SAC405,11.5373538022921,-0.0367550258524715,0.0350227542221545,29,SAC405,0.384665183722973,0.0072177555412054
0.5,0.06,0.8,3e-06,3e-05,9,1.0,SAC405,9.09199574253762,-0.0364501127623952,0.1251252740621565,30,SAC205,0.184301156550646,0.0077661163086303
0.25,0.02,0.8,6e-06,2.5e-05,3,2.0,SAC405,11.7783992722641,-0.0450013325898907,0.0405171774327754,31,SAC205,0.3796970198551819,0.0250677076401189
0.25,0.02,0.8,9e-06,3e-05,6,1.0,SAC105,6.27533896957113,-0.0377426760387606,0.0396679348777979,32,SAC405,0.3269353508949279,0.0017877579957712
0.5,0.06,0.8,6e-06,3e-05,3,1.5,SAC105,4.7095720076628,-0.0377033494296483,0.0513951811008154,33,SAC105,0.242907255887985,0.0222725190687924
0.75,0.02,0.4,6e-06,2e-05,3,1.5,SAC105,7.55062589154705,-0.0444646377582102,0.0280526634305715,34,SAC205,0.373572148382664,0.0022696272062603
0.75,0.04,0.8,3e-06,2.5e-05,9,1.5,SAC105,6.36797357646358,-0.0298148106667212,0.1169193759560583,35,SAC405,0.332309007644654,0.0010478594758751
0.25,0.06,0.8,6e-06,3e-05,6,2.0,SAC205,6.70877241467934,-0.0400307199161033,0.024598288204288,36,SAC205,0.35063012689352,0.0246358404983767
0.75,0.04,1.2,6e-06,3e-05,3,2.0,SAC105,6.07111213600604,-0.0240877518663182,0.0743709858506917,37,SAC105,0.356127806007862,0.0186776387563441
0.25,0.04,0.4,9e-06,2e-05,3,2.0,SAC305,8.00452058794858,-0.0888326616259291,0.0330692542484029,38,SAC305,0.0875957570970057,0.0137383606925141
